1,1001,4402,Abbotsford Public School,350 Great North Rd,602,38,1127,Primary School,Coed,505,2046,Abbotsford,20170307
2,1002,9333,Aberdeen Public School,Segenhoe St,241,4,917,Primary School,Coed,1552,2336,Aberdeen,20170307
3,1003,9299,Abermain Public School,Goulburn St,264,np,887,Primary School,Coed,1441,2326,Abermain,20170307
4,1007,10425,Adaminaby Public School,9 Cosgrove Street,17,0,973,Primary School,Coed,3872,2629,Adaminaby,20170307
5,1008,9043,Adamstown Public School,Bryant St,263,11,1024,Primary School,Coed,1225,2289,Adamstown,20170307
6,1009,10667,Adelong Public School,Gilmore St,81,0,966,Primary School,Coed,4377,2729,Adelong,20170307
7,1015,10020,Albion Park Public School,Tongarra & Hamilton Rds,435,5,977,Primary School,Coed,3045,2527,Albion Park,20170307
8,1016,9357,Timbumburi Public School,542 Kia Ora Lane,144,np,995,Primary School,Coed,1636,2340,Timbumburi,20170307
9,1017,10441,Albury Public School,481 David St,612,15,1055,Primary School,Coed,3952,2640,Albury,20170307
10,1019,10442,Albury West Public School,Mott St,118,np,866,Primary School,Coed,3952,2640,Albury,20170307
11,1028,11109,Alma Public School,Comstock St,236,np,844,Primary School,Coed,5275,2880,Broken Hill,20170307
12,1030,9761,Alstonville Public School,Main St,540,6,1018,Primary School,Coed,2755,2477,Alstonville,20170307
13,1040,9126,Anna Bay Public School,191 Gan Gan Rd,297,7,970,Primary School,Coed,1301,2316,Anna Bay,20170307
14,1041,5497,Annandale Public School,25 Johnston St,372,30,1150,Primary School,Coed,491,2038,Annandale,20170307
15,1042,4930,Annandale North Public School,206 Johnston St,398,16,1174,Primary School,Coed,491,2038,Annandale,20170307
16,1045,10197,Appin Public School,97 Appin Road,271,6,991,Primary School,Coed,3373,2560,Appin,20170307
17,1048,17392,Arcadia Public School,140 Arcadia Road,72,19,1064,Primary School,Coed,794,2159,Arcadia,20170307
18,1051,10519,Ardlethan Central School,Mithul St,83,np,966,Central/Community School,Coed,4152,2665,Ardlethan,20170307
19,1055,10520,Ariah Park Central School,Reid St,125.2,0,983,Central/Community School,Coed,4153,2665,Ariah Park,20170307
20,1057,9372,Armidale City Public School,Faulkner St,446,17,1023,Primary School,Coed,1690,2350,Armidale,20170307
21,1058,9376,Drummond Memorial Public School,250 Rusden Street,122,20,825,Primary School,Coed,1690,2350,Armidale,20170307
22,1061,7612,Artarmon Public School,McMillan Rd,1125,75,1186,Primary School,Coed,364,2064,Artarmon,20170307
23,1064,7773,Ashbury Public School,Trevenar St,381,45,1107,Primary School,Coed,872,2193,Ashbury,20170307
24,1065,7774,Ashfield Public School,Liverpool Rd,370,75,1066,Primary School,Coed,391,2131,Ashfield,20170307
25,1066,9412,Ashford Central School,Albury St,167.8,np,854,Central/Community School,Coed,1783,2361,Ashford,20170307
26,1070,5797,Asquith Public School,Dudley St,374,33,1090,Primary School,Coed,575,2077,Asquith,20170307
27,1071,9369,Attunga Public School,Railway St,37,0,944,Primary School,Coed,1661,2345,Attunga,20170307
28,1073,7799,Auburn North Public School,100 Adderley St,665,98,966,Primary School,Coed,398,2144,Auburn,20170307
29,1075,7801,Auburn West Public School,Chiswick Rd,721,98,906,Primary School,Coed,398,2144,Auburn,20170307
30,1076,9986,Austinmer Public School,90 Lawrence Hargrave Drive,345,11,1105,Primary School,Coed,3012,2515,Austinmer,20170307
31,1077,8545,Austral Public School,219 Edmondson Avenue,281,50,953,Primary School,Coed,865,2179,Austral,20170307
32,1081,10243,Avoca Public School,Sheepwash Rd,21,0,998,Primary School,Coed,3470,2577,Avoca,20170307
33,1082,16159,Avoca Beach Public School,The Round Drive,511,6,1094,Primary School,Coed,1026,2251,Avoca Beach,20170307
34,1084,8964,Awaba Public School,Mulbring Street,36,np,969,Primary School,Coed,1185,2283,Awaba,20170307
35,1085,16197,Colo Vale Public School,Wattle St,230,6,992,Primary School,Coed,3451,2575,Colo Vale,20170307
36,1098,9413,Bald Blair Public School,Ebor Rd,36,np,972,Primary School,Coed,1802,2365,Guyra,20170307
37,1104,7691,Seaforth Public School,37 Kempbridge Avenue,566,18,1152,Primary School,Coed,609,2092,Seaforth,20170307
38,1106,10002,Balgownie Public School,Balgownie Rd,349,22,1077,Primary School,Coed,3028,2519,Balgownie,20170307
39,1111,11039,Ballimore Public School,Bomen St,14,0,943,Primary School,Coed,4929,2830,Ballimore,20170307
40,1112,9765,Ballina Public School,48 Crane St,246,6,836,Primary School,Coed,2770,2478,Ballina,20170307
41,1115,6377,Balranald Central School,We St,151.6,4,899,Central/Community School,Coed,4314,2715,Balranald,20170307
42,1118,9770,Bangalow Public School,Byron St,291,7,1102,Primary School,Coed,2785,2479,Bangalow,20170307
43,1121,6390,Banksmeadow Public School,Trevelyan & Wiggins Sts,254,22,1039,Primary School,Coed,350,2019,Botany,20170307
44,1123,8557,Greenacre Public School,Waterloo Rd,797,98,932,Primary School,Coed,868,2190,Greenacre,20170307
45,1124,8574,Bankstown North Public School,322 Hume Hwy,377,93,979,Primary School,Coed,403,2200,Bankstown,20170307
46,1129,9515,Banora Point Public School,Pioneer Pde,621,6,995,Primary School,Coed,2957,2486,Banora Point,20170307
47,1130,6402,Baradine Central School,Narren St,109,0,787,Central/Community School,Coed,1934,2396,Baradine,20170307
48,1131,10521,Barellan Central School,Boree St,119,7,967,Central/Community School,Coed,4154,2665,Barellan,20170307
49,1134,10234,Bargo Public School,Southern Rd,359,10,979,Primary School,Coed,3444,2574,Bargo,20170307
50,1135,10672,Barham Public School,Wakool St,147,6,992,Primary School,Coed,4404,2732,Barham,20170307
51,1136,9751,Barkers Vale Public School,4501 Kyogle Rd,51,27,978,Primary School,Coed,2733,2474,Wadeville,20170307
52,1137,10527,Barmedman Public School,Robertson St,15,np,866,Primary School,Coed,4179,2668,Barmedman,20170307
53,1138,9127,Barnsley Public School,Cliffbrook St,283,3,951,Primary School,Coed,1158,2278,Barnsley,20170307
54,1139,10460,Barooga Public School,Hughes St,151,7,963,Primary School,Coed,7382,3644,Barooga,20170307
55,1140,9371,Barraba Central School,Gotha St,188.8,np,899,Central/Community School,Coed,1674,2347,Barraba,20170307
56,1143,9523,Barrington Public School,1 Kenmore St,58,np,1002,Primary School,Coed,2018,2422,Barrington,20170307
57,1146,9683,Baryulgil Public School,7135 Clarence Way,9,np,,Primary School,Coed,2459,2460,Baryulgil,20170307
58,1148,8571,Bass Hill Public School,611 Hume Hwy,354,82,944,Primary School,Coed,880,2197,Bass Hill,20170307
59,1149,10056,Batemans Bay Public School,Mundarra Way,569,5,897,Primary School,Coed,3137,2536,Surfside,20170307
60,1150,10975,Bathurst Public School,George St,577,12,982,Primary School,Coed,4685,2795,Bathurst,20170307
61,1152,6415,Batlow Technology School,Pioneer St,109,5,929,Central/Community School,Coed,4395,2730,Batlow,20170307
62,1160,10522,Beckom Public School,Welman St,11,0,947,Primary School,Coed,4155,2665,Beckom,20170307
63,1164,11098,Bedgerebong Public School,North Condobolin Rd,55,np,903,Primary School,Coed,5225,2871,Bedgerebong,20170307
64,1165,9643,Beechwood Public School,614 Beechwood Road,128,5,972,Primary School,Coed,2343,2446,Wauchope,20170307
65,1166,7758,Beecroft Public School,98 Beecroft Rd,817,54,1199,Primary School,Coed,694,2119,Beecroft,20170307
66,1167,10539,Beelbangera Public School,Rankins Springs Rd,179,20,1010,Primary School,Coed,4210,2680,Beelbangera,20170307
67,1168,10183,Bega Valley Public School,27 Auckland St,347,2,907,Primary School,Coed,3297,2550,Bega,20170307
68,1175,9496,Bellata Public School,Gurley St,29,0,914,Primary School,Coed,1938,2397,Bellata,20170307
69,1177,9208,Bellbird Public School,Doyle St,265,np,944,Primary School,Coed,1415,2325,Bellbird,20170307
70,1178,9608,Bellbrook Public School,Main St,31,np,838,Primary School,Coed,2206,2440,Bellbrook,20170307
71,1179,5338,Bellevue Hill Public School,Victoria Rd,611,61,1153,Primary School,Coed,449,2023,Bellevue Hill,20170307
72,1181,9676,Bellingen Public School,William St,395,3,1006,Primary School,Coed,2421,2454,Bellingen,20170307
73,1182,9335,Belltrees Public School,Moonan Flat Rd,11,0,977,Primary School,Coed,1560,2337,Belltrees,20170307
